FacilityLatitude,FacilityLongitude,FacilityName,AddressStateCode,count,Type,flipID,countyName,fipID
34.19,-84.7180555556,MCKASKEY CREEK CG,GA,51,TENT ONLY NONELECTRIC;STANDARD ELECTRIC,13015,Bartow,13015
36.92,-87.9758333333,HURRICANE CREEK,KY,51,RV ELECTRIC;WALK TO,21221,Trigg,21221
39.612777777800005,-105.716111111,GUANELLA PASS,CO,18,STANDARD NONELECTRIC;RV NONELECTRIC;TENT ONLY NONELECTRIC,08019,Clear Creek,08019
39.527222222199995,-105.728333333,GENEVA PARK CAMPGROUND,CO,26,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,08093,Park,08093
36.6044444444,-85.3025,LILLYDALE CAMPGROUND AND DAY USE,TN,114,TENT ONLY NONELECTRIC;STANDARD ELECTRIC;TENT ONLY ELECTRIC;RV ELECTRIC;STANDARD NONELECTRIC,47027,Clay,47027
38.0602777778,-89.00472222219999,SOUTH SANDUSKY CAMPGROUND,IL,128,STANDARD ELECTRIC;WALK TO,17055,Franklin,17055
37.1425,-90.7702777778,PIEDMONT PARK,MO,96,STANDARD ELECTRIC;STANDARD NONELECTRIC;GROUP STANDARD ELECTRIC,29179,Reynolds,29179
38.9555555556,-98.51944444440001,LUCAS PARK,KS,96,STANDARD ELECTRIC;STANDARD NONELECTRIC;GROUP STANDARD ELECTRIC;TENT ONLY NONELECTRIC,20167,Russell,20167
36.1041666667,-98.5694444444,SANDY COVE,OK,35,STANDARD ELECTRIC,40011,Blaine,40011
37.1003722222,-90.45583333329999,GREENVILLE RECREATION AREA,MO,103,STANDARD ELECTRIC;WALK TO,29223,Wayne,29223
35.1075,-93.6580555556,WAVELAND PARK,AR,51,STANDARD ELECTRIC,05149,Yell,05149
47.25,-93.5833333333,POKEGAMA DAM CAMPGROUND,MN,21,TENT ONLY NONELECTRIC;STANDARD ELECTRIC,27061,Itasca,27061
37.2958333333,-85.3,SMITH RIDGE,KY,80,STANDARD ELECTRIC;STANDARD NONELECTRIC,21217,Taylor,21217
34.3163888889,-110.941666667,CROOK CAMPGROUND,AZ,2,GROUP STANDARD NONELECTRIC,04005,Coconino,04005
39.2771388889,-96.630875,TUTTLE CREEK COVE,KS,56,STANDARD ELECTRIC;STANDARD NONELECTRIC,20161,Riley,20161
34.0433333333,-109.45861111100001,HOYER,AZ,90,STANDARD NONELECTRIC,04001,Apache,04001
40.6972222222,-110.891111111,MOOSEHORN,UT,33,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;RV NONELECTRIC,49013,Duchesne,49013
36.5669444444,-93.5013888889,BAXTER,MO,54,STANDARD ELECTRIC;STANDARD NONELECTRIC,29209,Stone,29209
35.100555555599996,-93.6525,OUTLET AREA,AR,38,STANDARD ELECTRIC,05149,Yell,05149
44.884722222200004,-109.65444444399999,HUNTER PEAK,WY,8,STANDARD NONELECTRIC,56029,Park,56029
35.5005555556,-95.6644444444,GENTRY CREEK,OK,37,STANDARD ELECTRIC;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,40091,McIntosh,40091
38.7611111111,-106.661111111,LODGEPOLE (Taylor River),CO,13,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,08051,Gunnison,08051
39.2694444444,-106.34666666700001,PRINTER BOY,CO,4,GROUP STANDARD NONELECTRIC,08065,Lake,08065
40.0830555556,-99.2277,HUNTER COVE,NE,148,STANDARD ELECTRIC;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,31083,Harlan,31083
29.3569444444,-81.7319444444,SALT SPRINGS RECREATION AREA,FL,163,STANDARD ELECTRIC;TENT ONLY NONELECTRIC,12083,Marion,12083
36.384166666700004,-96.21777777780001,TWIN POINTS,OK,52,STANDARD ELECTRIC,40113,Osage,40113
35.2244444444,-93.6225,COVE LAKE RECREATION AREA,AR,36,STANDARD NONELECTRIC,05083,Logan,05083
36.3905555556,-118.954722222,HORSE CREEK,CA,84,STANDARD NONELECTRIC;EQUESTRIAN NONELECTRIC,06107,Tulare,06107
39.2016666667,-106.08611111100001,HORSESHOE CAMPGROUND,CO,19,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,08093,Park,08093
39.266388888899996,-106.34972222200001,MOLLY BROWN,CO,47,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,08065,Lake,08065
