FacilityID,FacilityLatitude,FacilityLongitude,FacilityName,count,type
231936,40.4061111111,-111.603611111,MT. TIMPANOGOS,16,"STANDARD NONELECTRIC,RV NONELECTRIC"
234532,38.0710916667,-112.167977778,JONES CORRAL GUARD STATION,1,CABIN NONELECTRIC
231934,40.435,-111.63388888899999,ALTAMONT,1,GROUP STANDARD NONELECTRIC
232088,41.7769444444,-78.88611111109999,RED BRIDGE (PA),66,"STANDARD NONELECTRIC,CABIN ELECTRIC,STANDARD ELECTRIC,TENT ONLY NONELECTRIC,WALK TO"
233102,38.186111111100004,-119.3175,ROBINSON CREEK SOUTH,25,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,WALK TO,RV NONELECTRIC"
233638,27.1102777778,-80.285,ST LUCIE SOUTH,20,"TENT ONLY NONELECTRIC,MOORING,STANDARD ELECTRIC"
233564,33.8441666667,-89.60361111110001,NORTH GRAYSPORT,50,STANDARD ELECTRIC
233944,41.27,-107.11166666700001,JACK CREEK CREW QUARTERS,1,CABIN ELECTRIC
234277,33.8469444444,-89.7744444444,NORTH ABUTMENT,88,RV ELECTRIC
232095,38.8222222222,-79.38722222220001,SENECA SHADOWS,81,"WALK TO,STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232109,40.5725,-111.698333333,TANNERS FLAT,41,"GROUP WALK TO,STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
