"CountyName";"StateName";"CrimeRate";"fips"
"Cook County";"Cook County";596.6569;"17031.0"
"Cooke County";"Cooke County";231.3671;"48097.0"
"Cooper County";"Cooper County";192.6673;"29053.0"
"Coos County";"Coos County";186.2496;"41011.0"
"Coosa County";"Coosa County";192.6959;"1037.0"
"Copiah County";"Copiah County";55.3231;"28029.0"
"Corson County";"Corson County";23.7248;"46031.0"
"Cortland County";"Cortland County";130.6762;"36023.0"
"Coryell County";"Coryell County";185.0588;"48099.0"
"Coshocton County";"Coshocton County";54.407;"39031.0"
"Costilla County";"Costilla County";170.5514;"8023.0"
"Cottle County";"Cottle County";0.0;"48101.0"
"Cotton County";"Cotton County";16.2549;"40033.0"
"Cottonwood County";"Cottonwood County";77.4793;"27033.0"
"Covington city";"Covington city";223.4445;"51580.0"
"Covington County";"Covington County";258.6707;"1039.0"
"Coweta County";"Coweta County";165.19;"13077.0"
"Cowley County";"Cowley County";425.3674;"20035.0"
"Cowlitz County";"Cowlitz County";305.321;"53015.0"
"Craig County";"Craig County";115.1631;"51045.0"
"Craighead County";"Craighead County";322.2056;"5031.0"
"Crane County";"Crane County";188.5607;"48103.0"
"Craven County";"Craven County";310.0805;"37049.0"
"Crawford County";"Crawford County";375.8797;"13079.0"
"Creek County";"Creek County";218.5327;"40037.0"
"Crenshaw County";"Crenshaw County";479.0505;"1041.0"
"Crisp County";"Crisp County";475.6599;"13081.0"
"Crittenden County";"Crittenden County";1754.915;"5035.0"
"Crockett County";"Crockett County";651.0863;"47033.0"
"Crook County";"Crook County";278.6452;"41013.0"
"Crosby County";"Crosby County";83.4585;"48107.0"
"Cross County";"Cross County";347.618;"5037.0"
"Crow Wing County";"Crow Wing County";159.7899;"27035.0"
"Crowley County";"Crowley County";206.6892;"8025.0"
"Culberson County";"Culberson County";43.9174;"48109.0"
"Cullman County";"Cullman County";237.5914;"1043.0"
"Culpeper County";"Culpeper County";148.4352;"51047.0"
"Cumberland County";"Cumberland County";562.7994;"37051.0"
"Cuming County";"Cuming County";22.2321;"31039.0"
"Currituck County";"Currituck County";151.6642;"37053.0"
"Curry County";"Curry County";401.2016;"35009.0"
"Custer County";"Custer County";289.342;"40039.0"
"Cuyahoga County";"Cuyahoga County";521.2349;"39035.0"
"Dade County";"Dade County";230.2054;"13083.0"
"Daggett County";"Daggett County";0.0;"49009.0"
"Dakota County";"Dakota County";119.3488;"31043.0"
"Dale County";"Dale County";410.9534;"1045.0"
"Dallam County";"Dallam County";410.9395;"48111.0"
"Dallas County";"Dallas County";828.6503;"1047.0"
"Dane County";"Dane County";220.2224;"55025.0"
"Daniels County";"Daniels County";111.6695;"30019.0"
"Danville city";"Danville city";314.634;"51590.0"
"Dare County";"Dare County";265.5701;"37055.0"
"Darke County";"Darke County";135.5583;"39037.0"
"Darlington County";"Darlington County";746.3016;"45031.0"
"Dauphin County";"Dauphin County";525.2143;"42043.0"
"Davidson County";"Davidson County";1129.5137;"47037.0"
"Davie County";"Davie County";175.675;"37059.0"
"Daviess County";"Daviess County";169.0118;"21059.0"
"Davis County";"Davis County";90.6568;"49011.0"
"Davison County";"Davison County";292.5894;"46035.0"
"Dawes County";"Dawes County";110.0352;"31045.0"
"Dawson County";"Dawson County";211.7522;"30021.0"
"Day County";"Day County";0.0;"46037.0"
"De Baca County";"De Baca County";471.9455;"35011.0"
"De Soto Parish";"De Soto Parish";1447.4024;"22031.0"
"De Witt County";"De Witt County";60.9013;"17039.0"
"Deaf Smith County";"Deaf Smith County";172.0811;"48117.0"
"Dearborn County";"Dearborn County";54.1039;"18029.0"
"Decatur County";"Decatur County";488.8089;"47039.0"
"Deer Lodge County";"Deer Lodge County";289.4201;"30023.0"
"Defiance County";"Defiance County";88.2383;"39039.0"
"DeKalb County";"DeKalb County";592.9851;"13089.0"
"Del Norte County";"Del Norte County";556.0937;"6015.0"
"Delaware County";"Delaware County";516.039;"42045.0"
"Delta County";"Delta County";262.837;"26041.0"
"Dent County";"Dent County";209.7902;"29065.0"
"Denton County";"Denton County";161.4986;"48121.0"
"Denver County";"Denver County";599.0808;"8031.0"
"Des Moines County";"Des Moines County";506.4229;"19057.0"
"Deschutes County";"Deschutes County";231.3894;"41017.0"
"Desha County";"Desha County";415.8337;"5041.0"
"DeSoto County";"DeSoto County";431.6714;"12027.0"
"Deuel County";"Deuel County";69.4444;"46039.0"
"Dewey County";"Dewey County";123.8646;"40043.0"
"DeWitt County";"DeWitt County";497.4882;"48123.0"
"Dickens County";"Dickens County";87.2981;"48125.0"
"Dickenson County";"Dickenson County";83.9468;"51051.0"
"Dickey County";"Dickey County";19.0549;"38021.0"
"Dickinson County";"Dickinson County";147.8913;"20041.0"
"Dickson County";"Dickson County";348.1479;"47043.0"
"Dillingham Census Area";"Dillingham Census Area";938.1238;"2070.0"
"Dillon County";"Dillon County";1165.5833;"45033.0"
"Dimmit County";"Dimmit County";468.0187;"48127.0"
"Dinwiddie County";"Dinwiddie County";207.8555;"51053.0"
"District of Columbia";"District of Columbia";1216.8013;"11001.0"
"Divide County";"Divide County";0.0;"38023.0"
"Dixie County";"Dixie County";363.8645;"12029.0"
"Dixon County";"Dixon County";153.8199;"31051.0"
"Doddridge County";"Doddridge County";95.8773;"54017.0"
"Dodge County";"Dodge County";320.4373;"13091.0"
"Dolores County";"Dolores County";49.2854;"8033.0"
"Doniphan County";"Doniphan County";318.4308;"20043.0"
"Donley County";"Donley County";283.9296;"48129.0"
"Dooly County";"Dooly County";293.6242;"13093.0"
"Door County";"Door County";71.6949;"55029.0"
"Dorchester County";"Dorchester County";508.267;"24019.0"
"Dougherty County";"Dougherty County";930.4177;"13095.0"
"Douglas County";"Douglas County";483.3822;"31055.0"
"Drew County";"Drew County";361.991;"5043.0"
"Dubois County";"Dubois County";61.3772;"18037.0"
"Dubuque County";"Dubuque County";161.9695;"19061.0"
"Duchesne County";"Duchesne County";167.4217;"49013.0"
"Dukes County";"Dukes County";191.2378;"25007.0"
"Dundy County";"Dundy County";0.0;"31057.0"
"Dunklin County";"Dunklin County";394.1726;"29069.0"
"Dunn County";"Dunn County";216.2422;"38025.0"
"DuPage County";"DuPage County";94.6224;"17043.0"
"Duplin County";"Duplin County";326.21;"37061.0"
"Durham County";"Durham County";621.2409;"37063.0"
"Dutchess County";"Dutchess County";227.6738;"36027.0"
"Duval County";"Duval County";738.8316;"48131.0"
"Dyer County";"Dyer County";688.2475;"47045.0"
"Eagle County";"Eagle County";171.5593;"8037.0"
"Early County";"Early County";635.553;"13099.0"
"East Baton Rouge Parish";"East Baton Rouge Parish";667.0754;"22033.0"
"East Carroll Parish";"East Carroll Parish";557.843;"22035.0"
