"PlaceId";"Name";"Type";"Capacity";"fips"
2782;"MALLARD MARSH CAMPGROUND";"STANDARD NONELECTRIC";15;"41017.0"
2783;"LITTLE DUNE I CAMPSITE ON GRAND ISLAND";"WALK TO";1;"26003.0"
2784;"WRIGHTS LAKE EQUESTRIAN CAMPGROUND";"EQUESTRIAN NONELECTRIC";15;"6017.0"
2785;"Alosa Campsites";"TENT ONLY NONELECTRIC";6;"42089.0"
2786;"YUKWAH CAMPGROUND";"STANDARD NONELECTRIC";20;"41043.0"
2787;"CHITTENDEN BROOK CAMPGROUND";"STANDARD NONELECTRIC";17;"50021.0"
2788;"GAMEFENCE CAMPSITE ON GRAND ISLAND";"WALK TO";1;"26003.0"
2789;"SUMMIT SPRINGS GUARD STATION";"GROUP STANDARD AREA NONELECTRIC";1;"49009.0"
2790;"LITTLE DUNE II CAMPSITE ON GRAND ISLAND";"WALK TO";1;"26003.0"
2791;"FLUMET FLAT GROUP CAMPGROUND";"GROUP STANDARD AREA NONELECTRIC";1;"41029.0"
2792;"SHELTER RIDGE CAMPSITE ON GRAND ISLAND";"WALK TO";1;"26003.0"
2793;"CULTUS LAKE CAMPGROUND";"STANDARD NONELECTRIC";54;"41017.0"
2794;"HUMBUG CAMPGROUND";"STANDARD NONELECTRIC";21;"41047.0"
2795;"LITTLE CULTUS CAMPGROUND";"STANDARD NONELECTRIC";28;"41017.0"
2796;"OWL CREEK CORRAL";"EQUESTRIAN NONELECTRIC";1;"30063.0"
2797;"FOX CREEK HORSE CAMP";"EQUESTRIAN NONELECTRIC";20;"51077.0"
2798;"DENNIS COVE CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";14;"47019.0"
2799;"SPENCER BENCH CABIN";"CABIN NONELECTRIC";1;"2122.0"
2800;"Fourmile Lake Campground";"STANDARD NONELECTRIC;EQUESTRIAN NONELECTRIC";22;"41035.0"
2801;"BACKBONE ROCK CAMPGROUND";"STANDARD NONELECTRIC";11;"47091.0"
2802;"CHILHOWEE CAMPGROUND";"RV NONELECTRIC;RV ELECTRIC;TENT ONLY NONELECTRIC;TENT ONLY ELECTRIC";61;"47139.0"
2803;"PAYSON LAKES GUARD STATION";"CABIN ELECTRIC";1;"49049.0"
2804;"Capitol Reef NP Group Campsite";"GROUP STANDARD AREA NONELECTRIC";1;"49055.0"
2805;"MCMILLAN WOODS SCOUT AND YOUTH GROUP CAMPGROUND";"GROUP TENT ONLY AREA NONELECTRIC";10;"42001.0"
2806;"FREMONT POINT CABIN";"CABIN NONELECTRIC";1;"41037.0"
2807;"REYNOLDS CREEK GROUP CAMPGROUND";"GROUP STANDARD AREA NONELECTRIC";1;"4007.0"
2808;"GREENBELT CAMPGROUND";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC";131;"24033.0"
2809;"Tower Rock Campground ";"STANDARD NONELECTRIC";22;"53041.0"
2810;"AMERICAN FORKS CAMPGROUND";"STANDARD NONELECTRIC";12;"53077.0"
2811;"BOULDER FLAT CAMPGROUND";"STANDARD NONELECTRIC";9;"41019.0"
2812;"Schoodic Woods Campground";"STANDARD ELECTRIC;RV ELECTRIC;TENT ONLY ELECTRIC;WALK TO;GROUP TENT ONLY AREA NONELECTRIC";94;"23009.0"
2813;"Kenai Fjords National Park Cabins";"CABIN NONELECTRIC";2;"2122.0"
2814;"CROCKER GUARD STATION";"CABIN NONELECTRIC";1;"6063.0"
2815;"WILLIAMS CREEK CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";61;"8053.0"
2816;"Dewey Bridge Group Sites";"GROUP STANDARD NONELECTRIC";2;"49019.0"
2817;"NICHOLS LAKE SOUTH CAMPGROUND";"STANDARD NONELECTRIC";28;"26123.0"
2818;"BUNKER HILL CAMPGROUND";"STANDARD NONELECTRIC";5;"41019.0"
2819;"Kens Lake Group Sites";"GROUP STANDARD NONELECTRIC";2;"49037.0"
2820;"Upper Onion Creek Group Site";"GROUP STANDARD NONELECTRIC";2;"49019.0"
2821;"Gold Bar Group Sites";"GROUP STANDARD NONELECTRIC";4;"49019.0"
2822;"Goose Island Group Sites";"GROUP STANDARD NONELECTRIC";2;"49019.0"
2823;"Lone Mesa Group Sites";"GROUP STANDARD NONELECTRIC";5;"49019.0"
2824;"Horsethief Group Site";"GROUP STANDARD NONELECTRIC";1;"49019.0"
2825;"Big Bend Group Sites";"GROUP STANDARD NONELECTRIC";3;"49019.0"
2826;"The Ledge Group Site";"GROUP STANDARD NONELECTRIC";1;"49037.0"
2827;"Windwhistle Group Site";"GROUP STANDARD NONELECTRIC";1;"49037.0"
2828;"KELSAY VALLEY HORSE CAMP";"EQUESTRIAN NONELECTRIC;STANDARD NONELECTRIC";16;"41019.0"
2829;"BOAT GUNNEL GROUP CAMPGROUND";"GROUP STANDARD ELECTRIC";1;"21205.0"
2830;"EAST LEMOLO CAMPGROUND";"STANDARD NONELECTRIC";15;"41019.0"
2831;"MANY GLACIER CAMPGROUND";"STANDARD NONELECTRIC";41;"30035.0"
2832;"CONGAREE NATIONAL PARK CAMPING";"TENT ONLY NONELECTRIC;GROUP WALK TO";20;"45079.0"
2833;"INLET CAMPGROUND";"STANDARD NONELECTRIC";13;"41019.0"
2834;"TWIN CREEK CAMPGROUND GROUP CAMPING SITE";"GROUP STANDARD AREA NONELECTRIC";1;"16059.0"
2835;"ALTO PIT OHV CAMPGROUND";"STANDARD NONELECTRIC";11;"4025.0"
2836;"JUMPUP CABIN";"CABIN NONELECTRIC";1;"4005.0"
2837;"CANTON CREEK CAMPGROUND";"STANDARD NONELECTRIC";5;"41019.0"
2838;"COPPER BASIN GUARD STATION";"CABIN NONELECTRIC";1;"16037.0"
2839;"TOKETEE LAKE CAMPGROUND";"STANDARD NONELECTRIC";15;"41019.0"
2840;"SOL DUC HOT SPRINGS RESORT CAMPGROUND";"STANDARD NONELECTRIC;STANDARD ELECTRIC;GROUP STANDARD NONELECTRIC;RV ELECTRIC";97;"53009.0"
2841;"WHITETAIL YURT";"YURT";1;"30053.0"
2842;"CRAIG CREEK RECREATION AREA";"GROUP STANDARD AREA NONELECTRIC";1;"51023.0"
2843;"CAMEL LAKE CAMPGROUND";"RV ELECTRIC;RV NONELECTRIC";11;"12077.0"
2844;"GROUP LANDING";"GROUP STANDARD AREA ELECTRIC";1;"12003.0"
2845;"WRIGHT LAKE CAMPGROUND";"RV NONELECTRIC;RV ELECTRIC";20;"12037.0"
2846;"STEEL BRIDGE CAMPGROUND";"GROUP STANDARD AREA NONELECTRIC";3;"51045.0"
2847;"South Shore Group Campground";"GROUP STANDARD NONELECTRIC";3;"41031.0"
2848;"BLACKWOODS CAMPGROUND";"TENT ONLY NONELECTRIC;RV NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";292;"23009.0"
2849;"SANDY FLAT";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";32;"6029.0"
2850;"DELTA NATIONAL FOREST - CAMPING";"STANDARD NONELECTRIC";56;"28125.0"
2851;"NORTH FORK CAMPGROUND (OR)";"STANDARD NONELECTRIC";9;"41029.0"
2852;"DRIFTWOOD CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
